ppn	spkr	id	var	dur	f	pool	list	def	s	o1	o2	o3	o4	cor	r	rt	i
YRBOF	40	7	3	725	7_40_3.wav	3	1	34	m	12	34	6	53	1	2	1352	34
YRBOF	55	11	3	437	11_55_3.wav	1	3	41	m	52	118	41	64	1	3	3539	35
YRBOF	44	1	4	675	1_44_4.wav	2	3	41	f	41	63	119	155	1	1	4218	36
YRBOF	37	2	1	613	2_37_1.wav	1	1	22	f	141	22	84	32	1	2	1323	37
YRBOF	7	1	4	685	1_7_4.wav	2	1	20	f	20	54	75	146	1	1	2019	38
YRBOF	13	3	2	595	3_13_2.wav	3	2	30	f	66	115	122	30	1	4	2366	39
YRBOF	4	9	3	527	9_4_3.wav	2	2	32	m	144	32	92	136	1	2	1013	40
YRBOF	48	11	1	550	11_48_1.wav	1	1	2	m	171	14	68	2	1	4	1769	41
YRBOF	46	10	3	452	10_46_3.wav	1	1	24	m	87	24	157	51	1	2	1372	42
YRBOF	24	1	3	725	1_24_3.wav	2	1	33	f	70	33	171	50	1	2	779	43
YRBOF	54	11	2	500	11_54_2.wav	1	2	19	m	19	157	43	20	1	1	744	44
YRBOF	28	7	3	680	7_28_3.wav	3	3	41	m	172	136	122	41	1	4	1652	45
YRBOF	41	2	2	563	2_41_2.wav	1	3	41	f	39	96	41	120	0	1	5227	46
YRBOF	29	10	3	765	10_29_3.wav	1	1	13	m	85	13	151	63	1	2	1139	47
YRBOF	55	7	1	660	7_55_1.wav	3	3	41	m	130	102	41	30	1	3	1699	48
YRBOF	57	1	1	625	1_57_1.wav	2	2	10	f	10	77	46	36	1	1	1365	49
YRBOF	52	5	3	720	5_52_3.wav	2	3	41	f	41	2	178	169	1	1	1976	50
YRBOF	23	9	4	527	9_23_4.wav	2	3	41	m	146	114	41	52	1	3	2198	51
YRBOF	16	5	2	685	5_16_2.wav	2	3	41	f	94	117	41	167	1	3	1893	52
YRBOF	47	3	3	790	3_47_3.wav	3	2	9	f	9	84	55	143	1	1	923	53
YRBOF	18	3	3	717	3_18_3.wav	3	2	7	f	154	145	7	111	1	3	1313	54
YRBOF	15	11	1	583	11_15_1.wav	1	2	5	m	120	84	66	5	1	4	2177	55
YRBOF	51	5	2	940	5_51_2.wav	2	3	41	f	61	41	135	92	1	2	1362	56
YRBOF	43	6	3	500	6_43_3.wav	1	1	27	f	27	125	62	178	1	1	2805	57
YRBOF	9	2	2	631	2_9_2.wav	1	2	37	f	179	37	117	164	1	2	2607	58
YRBOF	41	5	1	940	5_41_1.wav	2	3	41	f	124	41	63	149	1	2	2980	59
YRBOF	17	1	3	660	1_17_3.wav	2	1	39	f	108	171	112	39	1	4	1397	60
YRBOF	51	12	3	649	12_51_3.wav	3	3	41	m	41	44	135	10	1	1	1000	61
YRBOF	1	2	1	568	2_1_1.wav	1	3	41	f	146	41	46	162	1	2	2594	62
YRBOF	10	9	4	500	9_10_4.wav	2	1	21	m	21	148	24	169	1	1	1343	63
YRBOF	14	1	2	670	1_14_2.wav	2	3	41	f	100	156	165	41	1	4	4125	64
YRBOF	50	3	1	740	3_50_1.wav	3	1	31	f	31	99	84	68	1	1	1206	65
YRBOF	46	1	1	660	1_46_1.wav	2	1	24	f	15	24	82	44	1	2	1469	66
YRBOF	45	10	2	499	10_45_2.wav	1	2	15	m	92	163	174	15	1	4	1686	67
YRBOF	28	11	2	609	11_28_2.wav	1	3	41	m	72	102	68	41	1	4	2078	68
YRBOF	3	3	2	550	3_3_2.wav	3	3	41	f	75	176	41	60	1	3	1674	69
YRBOF	31	5	2	830	5_31_2.wav	2	3	41	f	162	46	41	12	1	3	1755	70
